dia,t_total,t_prueba1,t_prueba2,rechaza,llora,toca,prueba,consume,valence_inicio,arousal_inicio,valence_p1_before,valence_p1_during,valence_p1_after,valence_p2_before,valence_p2_during,valence_p2_after,arousal_p1_before,arousal_p1_during,arousal_p1_after,arousal_p2_before,arousal_p2_during,arousal_p2_after,valence_final,arousal_final,comentarios,id,dia_original,dia_num,fase_dia,valence_mean,arousal_mean,valence_delta,arousal_delta,valence_p1_delta,valence_p2_delta,arousal_p1_delta,arousal_p2_delta,aceptacion_score,va_missing_count,tiene_nota_tecnica,texto_limpio,lex_rechazo_activo,lex_rechazo_activo_score,lex_malestar_emocional,lex_malestar_emocional_score,lex_aceptacion,lex_aceptacion_score,lex_exploracion,lex_exploracion_score,lex_intervencion_adulto,lex_intervencion_adulto_score,lex_autonomia,lex_autonomia_score,lex_problema_datos,lex_problema_datos_score,lex_net_acceptance,score_negacion,sentiment_label,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_score,cond_gira_cara,cond_usa_manos,cond_llora_malestar,cond_juega_alimento,cond_autonomo,cond_adulto_interviene,cond_formato_entero,cond_formato_papilla,cond_video_problema,cond_segunda_prueba,cond_ambivalente
12,20.49,14.1,,1,0,0,1,0,0.3834838,0.8620042,0.163807,0.1309717,0.237891,,,,0.4276877,0.395056,0.3794003,,,,0.07768895,0.8535936,,ID3,12,12,sin_fase,0.19876849,0.58354836,-0.30579485,-0.0084106,0.074084,,-0.0482874,,0,6,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
13,20.96,2.83,8.3,0,0,0,1,0,0.06823567,0.4622958,0.0796237,0.07262021,0.07546327,,0.1621016,0.1226645,0.656886,0.6479682,0.6175984,,0.6700021,0.6398863,0.06261856,0.7851015,,ID3,13,13,sin_fase,0.09190393,0.639962614,-0.00561711,0.3228057,-0.00416043,,-0.0392876,,0.5,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
14,17.93,8.16,15.36,0,0,0,1,1,0.06228033,0.4437875,0.1730261,0.1377107,0.1091319,0.1733341,0.1468683,0.1308062,0.7233348,0.6340019,0.5429462,0.5539788,0.5201624,0.4905086,0.09769272,0.8370242,,ID3,14,14,sin_fase,0.128856294,0.59321805,0.03541239,0.3932367,-0.0638942,-0.0425279,-0.1803886,-0.0634702,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15,6.29,0,,0,0,0,1,1,0.1547496,0.3599792,,0.1547496,0.2310487,,,,,0.3599792,0.3891344,,,,,,,ID3,15,15,sin_fase,0.180182633,0.3696976,,,,,,,1,10,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
16,17.79,1.4,10.6,0,0,0,1,1,0.16287,0.3506917,0.1774102,0.2005265,0.1812546,0.3231079,0.2764749,0.3459297,0.4864165,0.4667538,0.458896,0.6864963,0.6671375,0.6285418,0.1154838,0.6620529,,ID3,16,16,sin_fase,0.2228822,0.550873313,-0.0473862,0.3113612,0.0038444,0.0228218,-0.0275205,-0.0579545,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
17,18.33,1.03,15.06,0,0,0,1,1,0.4142,0.98755,0.4092216,0.2718996,0.2702428,0.3000882,0.2864042,0.2770983,0.9792544,0.9377018,0.8603294,0.5099448,0.5419103,0.5299762,0.07542556,0.7733446,,ID3,17,17,sin_fase,0.288072533,0.765001438,-0.33877444,-0.2142054,-0.1389788,-0.0229899,-0.118925,0.0200314,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
1,10.46,1.6,4.7,1,1,0,1,1,0.1644629,0.4681,0.5061705,0.5762245,0.5139787,,0.489541,0.3801179,0.7581916,0.7637396,0.7559392,,0.7533479,0.7087711,0.2758455,0.925384,,ID4,1,1,sin_fase,0.415191571,0.733353343,0.1113826,0.457284,0.0078082,,-0.0022524,,0,2,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,10.03,1.5,6.36,0,1,1,1,1,0.392473,0.99,0.3426192,0.2413983,0.1677933,0.52524,0.5211667,0.4643261,0.9468521,0.8655136,0.7641463,0.7722611,0.8232486,0.7880848,0.7110475,0.8112541,,ID4,2,2,sin_fase,0.420758013,0.845170075,0.3185745,-0.1787459,-0.1748259,-0.0609139,-0.1827058,0.0158237,0.5,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,17.17,1.43,,0,1,1,1,1,0.7243667,0.99,0.7854044,0.7853439,0.7790508,,,,0.9841443,0.9773973,0.9599361,,,,0.49475,0.5671428,,ID4,3,3,sin_fase,0.71378316,0.8957241,-0.2296167,-0.4228572,-0.0063536,,-0.0242082,,0.5,6,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
4,7.6,1.63,,0,1,1,1,0,0.7312734,0.99,0.5646949,0.5053896,0.4772785,,,,0.9737952,0.9380705,0.9181502,,,,0.4202164,0.7511766,,ID4,4,4,sin_fase,0.53977056,0.9142385,-0.311057,-0.2388234,-0.0874164,,-0.055645,,0,6,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
